Tarih,Başlık,Metin,ParsedDate,Month,english_text,lemmatized_text,stemmed_text
"Sun, 22 Apr 2018 07:00:00 GMT",Borsa 4 haftanın ardından yükselişe geçti - Anadolu Ajansı,borsa four haftanın ardından yükselişe geçti anadolu ajansı,2018-04-22 07:00:00,4,Stock market rose after four weeks Anadolu Agency,stock market rise four week anadolu agency,stock market rose four week anadolu agenc
"Thu, 06 Sep 2018 07:00:00 GMT",İsviçreli uzmandan basit anlatımla blok zinciri hakkında herşey - Euronews.com,i̇sviçreli uzmandan basit anlatımla blok zinciri hakkında herşey euronews com,2018-09-06 07:00:00,9,Everything about blockchain in simple terms from the Swiss expert euronews com,everything blockchain simple term swiss expert euronews com,everyth blockchain simpl term swiss expert euronew com
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul`un yeni başkanı belli oldu! - Uzmanpara,borsa i̇stanbul un yeni başkanı belli oldu uzmanpara,2018-09-27 07:00:00,9,The new president of Borsa Istanbul has been announced Uzmanpara,new president borsa istanbul announce uzmanpara,new presid borsa istanbul announc uzmanpara
"Wed, 06 Jun 2018 07:00:00 GMT",Borsa İstanbul'da kimler satış yapıyor? | Borsa haberleri - Bloomberght,borsa i̇stanbul da kimler satış yapıyor borsa haberleri bloomberght,2018-06-06 07:00:00,6,Who is selling in Borsa Istanbul? Stock market news bloomberght,sell borsa istanbul stock market news bloomberght,sell borsa istanbul stock market news bloomberght
"Thu, 12 Apr 2018 07:00:00 GMT",Sakarya Üniversitesi - Sakarya Üniversitesi,sakarya üniversitesi sakarya üniversitesi,2018-04-12 07:00:00,4,sakarya university sakarya university,sakarya university sakarya university,sakarya univers sakarya univers
"Wed, 26 Sep 2018 07:00:00 GMT","ABD'li Nasdaq, Borsa İstanbul'dan çıktı - BBC",abd li nasdaq borsa i̇stanbul dan çıktı bbc,2018-09-26 07:00:00,9,US Nasdaq Stock Exchange left Istanbul BBC,u nasdaq stock exchange left istanbul bbc,us nasdaq stock exchang left istanbul bbc
"Fri, 18 May 2018 07:00:00 GMT",Borsa İstanbul’da gong Şok Marketler için çaldı - Bigpara,borsa i̇stanbul da gong şok marketler için çaldı bigpara,2018-05-18 07:00:00,5,gong shock rang for markets in stock market istanbul bigpara,gong shock rang market stock market istanbul bigpara,gong shock rang market stock market istanbul bigpara
"Tue, 08 May 2018 07:00:00 GMT",Borsa İstanbul'dan açığa satışa düzenleme - Anadolu Ajansı,borsa i̇stanbul dan açığa satışa düzenleme anadolu ajansı,2018-05-08 07:00:00,5,regulation of short selling from stock market istanbul anadolu agency,regulation short sell stock market istanbul anadolu agency,regul short sell stock market istanbul anadolu agenc
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul'un yeni başkanı Prof. Dr. Erişah Arıcan oldu | Son dakika ekonomi haberleri - Bloomberght,borsa i̇stanbul un yeni başkanı prof dr erişah arıcan oldu son dakika ekonomi haberleri bloomberght,2018-09-27 07:00:00,9,The new president of Borsa Istanbul is Prof. Dr. Ağırah Arıcan. Last minute economic news bloomberght,new president borsa istanbul ağırah arıcan last minute economic news bloomberght,new presid borsa istanbul ağırah arıcan last minut econom news bloomberght
"Fri, 28 Sep 2018 07:00:00 GMT",Elon Musk'a borsa dolandırıcılığı davası: Tesla yöneticiliği tehlikede - BBC,elon musk a borsa dolandırıcılığı davası tesla yöneticiliği tehlikede bbc,2018-09-28 07:00:00,9,Elon Musk's stock market fraud case Tesla executive position in danger BBC,elon musk stock market fraud case tesla executive position danger bbc,elon musk stock market fraud case tesla execut posit danger bbc
"Thu, 16 Aug 2018 07:00:00 GMT","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Uzmanpara",himmet karadağ borsa i̇stanbul daki görevinden ayrıldı uzmanpara,2018-08-16 07:00:00,8,Himmet Karadağ left his job at Borsa Istanbul Uzmanpara,himmet karadağ left job borsa istanbul uzmanpara,himmet karadağ left job borsa istanbul uzmanpara
"Fri, 07 Dec 2018 08:00:00 GMT",Bu hafta borsa kaybettirdi döviz ve altın kazandırdı - Anadolu Ajansı,bu hafta borsa kaybettirdi döviz ve altın kazandırdı anadolu ajansı,2018-12-07 08:00:00,12,"This week the stock market lost, foreign currency and gold gained, Anadolu Agency",week stock market lose foreign currency gold gain anadolu agency,week stock market lost foreign currenc gold gain anadolu agenc
"Wed, 03 Oct 2018 07:00:00 GMT",Borsa günü düşüşle tamamladı | Borsa haberleri - Bloomberght,borsa günü düşüşle tamamladı borsa haberleri bloomberght,2018-10-03 07:00:00,10,stock market finished the day with a decline stock market news bloomberght,stock market finish day decline stock market news bloomberght,stock market finish day declin stock market news bloomberght
"Fri, 14 Sep 2018 07:00:00 GMT",Borsa İstanbul'dan kur riskinden korunmak için VİOP'a davet - Anadolu Ajansı,borsa i̇stanbul dan kur riskinden korunmak için vi̇op a davet anadolu ajansı,2018-09-14 07:00:00,9,Invitation from Borsa Istanbul to VIOP to protect against exchange rate risk Anadolu Agency,invitation borsa istanbul viop protect exchange rate risk anadolu agency,invit borsa istanbul viop protect exchang rate risk anadolu agenc
"Tue, 09 Jan 2018 08:00:00 GMT","Borsa, güne yatay başladı | Borsa haberleri - Bloomberght",borsa güne yatay başladı borsa haberleri bloomberght,2018-01-09 08:00:00,1,stock market started the day flat stock market news bloomberght,stock market start day flat stock market news bloomberght,stock market start day flat stock market news bloomberght
"Fri, 29 Jun 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Anadolu Ajansı,borsa güne yükselişle başladı anadolu ajansı,2018-06-29 07:00:00,6,Stock market started the day with an increase Anadolu Agency,stock market start day increase anadolu agency,stock market start day increas anadolu agenc
"Tue, 05 Jun 2018 07:00:00 GMT",Borsa yaklaşık 1 yılın en düşük seviyesinde kapandı | Borsa haberleri - Bloomberght,borsa yaklaşık one yılın en düşük seviyesinde kapandı borsa haberleri bloomberght,2018-06-05 07:00:00,6,The stock market closed at its lowest level in nearly a year stock market news bloomberght,stock market close low level nearly year stock market news bloomberght,stock market close lowest level nearli year stock market news bloomberght
"Wed, 18 Apr 2018 07:00:00 GMT",Borsa İstanbul'un işgali davasında savcı mütalaasını sundu - Anadolu Ajansı,borsa i̇stanbul un işgali davasında savcı mütalaasını sundu anadolu ajansı,2018-04-18 07:00:00,4,The prosecutor presented his opinion in the Borsa Istanbul occupation case. Anadolu Agency,prosecutor present opinion borsa istanbul occupation case anadolu agency,prosecutor present opinion borsa istanbul occup case anadolu agenc
"Thu, 26 Jul 2018 07:00:00 GMT",Borsa Eğitim ve Simülasyon Laboratuvarı'nın ikincisi Konya'da açıldı - Anadolu Ajansı,borsa eğitim ve simülasyon laboratuvarı nın ikincisi konya da açıldı anadolu ajansı,2018-07-26 07:00:00,7,The second Borsa Training and Simulation Laboratory was opened in Konya Anadolu Agency,second borsa training simulation laboratory open konya anadolu agency,second borsa train simul laboratori open konya anadolu agenc
"Wed, 24 Jan 2018 08:00:00 GMT",Borsa İstanbul'da Trabzon Liman İşletmeciliği gong töreni - Anadolu Ajansı,borsa i̇stanbul da trabzon liman i̇şletmeciliği gong töreni anadolu ajansı,2018-01-24 08:00:00,1,Trabzon Port Management Gong Ceremony at Borsa Istanbul Anadolu Agency,trabzon port management gong ceremony borsa istanbul anadolu agency,trabzon port manag gong ceremoni borsa istanbul anadolu agenc
"Tue, 17 Apr 2018 07:00:00 GMT",Transtürk Holding borsa kotundan çıkarıldı | Borsa haberleri - Bloomberght,transtürk holding borsa kotundan çıkarıldı borsa haberleri bloomberght,2018-04-17 07:00:00,4,transturk holding was delisted from the stock market stock market news bloomberght,transturk hold delist stock market stock market news bloomberght,transturk hold delist stock market stock market news bloomberght
"Mon, 02 Jul 2018 07:00:00 GMT",Borsa İstanbul'un işgali davasında karar - Anadolu Ajansı,borsa i̇stanbul un işgali davasında karar anadolu ajansı,2018-07-02 07:00:00,7,decision in the occupation of stock exchange istanbul case anadolu agency,decision occupation stock exchange istanbul case anadolu agency,decis occup stock exchang istanbul case anadolu agenc
"Fri, 17 Aug 2018 07:00:00 GMT","Dolar: Türkiye'de 1994, 2001 ve 2007'deki ekonomik krizlerde neler yaşandı? - BBC",dolar türkiye de one thousand nine hundred and ninety four two thousand and one ve two thousand and seven deki ekonomik krizlerde neler yaşandı bbc,2018-08-17 07:00:00,8,dollar in Türkiye what happened during the economic crises in one thousand nine hundred and ninety four two thousand and one and two thousand and seven bbc,dollar türkiye happen economic crisis one thousand nine hundred ninety four two thousand one two thousand seven bbc,dollar türkiy happen econom crise one thousand nine hundr nineti four two thousand one two thousand seven bbc
