Tarih,Başlık,Metin,ParsedDate,Month,english_text
"Sun, 22 Apr 2018 07:00:00 GMT",Borsa 4 haftanın ardından yükselişe geçti - Anadolu Ajansı,borsa four haftanın ardından yükselişe geçti anadolu ajansı,2018-04-22 07:00:00,4,Stock market rose after four weeks Anadolu Agency
"Thu, 06 Sep 2018 07:00:00 GMT",İsviçreli uzmandan basit anlatımla blok zinciri hakkında herşey - Euronews.com,i̇sviçreli uzmandan basit anlatımla blok zinciri hakkında herşey euronews com,2018-09-06 07:00:00,9,Everything about blockchain in simple terms from the Swiss expert euronews com
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul`un yeni başkanı belli oldu! - Uzmanpara,borsa i̇stanbul un yeni başkanı belli oldu uzmanpara,2018-09-27 07:00:00,9,The new president of Borsa Istanbul has been announced Uzmanpara
"Wed, 06 Jun 2018 07:00:00 GMT",Borsa İstanbul'da kimler satış yapıyor? | Borsa haberleri - Bloomberght,borsa i̇stanbul da kimler satış yapıyor borsa haberleri bloomberght,2018-06-06 07:00:00,6,Who is selling in Borsa Istanbul? Stock market news bloomberght
"Thu, 12 Apr 2018 07:00:00 GMT",Sakarya Üniversitesi - Sakarya Üniversitesi,sakarya üniversitesi sakarya üniversitesi,2018-04-12 07:00:00,4,sakarya university sakarya university
"Wed, 26 Sep 2018 07:00:00 GMT","ABD'li Nasdaq, Borsa İstanbul'dan çıktı - BBC",abd li nasdaq borsa i̇stanbul dan çıktı bbc,2018-09-26 07:00:00,9,US Nasdaq Stock Exchange left Istanbul BBC
"Fri, 18 May 2018 07:00:00 GMT",Borsa İstanbul’da gong Şok Marketler için çaldı - Bigpara,borsa i̇stanbul da gong şok marketler için çaldı bigpara,2018-05-18 07:00:00,5,gong shock rang for markets in stock market istanbul bigpara
"Tue, 08 May 2018 07:00:00 GMT",Borsa İstanbul'dan açığa satışa düzenleme - Anadolu Ajansı,borsa i̇stanbul dan açığa satışa düzenleme anadolu ajansı,2018-05-08 07:00:00,5,regulation of short selling from stock market istanbul anadolu agency
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul'un yeni başkanı Prof. Dr. Erişah Arıcan oldu | Son dakika ekonomi haberleri - Bloomberght,borsa i̇stanbul un yeni başkanı prof dr erişah arıcan oldu son dakika ekonomi haberleri bloomberght,2018-09-27 07:00:00,9,The new president of Borsa Istanbul is Prof. Dr. Ağırah Arıcan. Last minute economic news bloomberght
"Fri, 28 Sep 2018 07:00:00 GMT",Elon Musk'a borsa dolandırıcılığı davası: Tesla yöneticiliği tehlikede - BBC,elon musk a borsa dolandırıcılığı davası tesla yöneticiliği tehlikede bbc,2018-09-28 07:00:00,9,Elon Musk's stock market fraud case Tesla executive position in danger BBC
"Thu, 16 Aug 2018 07:00:00 GMT","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Uzmanpara",himmet karadağ borsa i̇stanbul daki görevinden ayrıldı uzmanpara,2018-08-16 07:00:00,8,Himmet Karadağ left his job at Borsa Istanbul Uzmanpara
"Fri, 07 Dec 2018 08:00:00 GMT",Bu hafta borsa kaybettirdi döviz ve altın kazandırdı - Anadolu Ajansı,bu hafta borsa kaybettirdi döviz ve altın kazandırdı anadolu ajansı,2018-12-07 08:00:00,12,"This week the stock market lost, foreign currency and gold gained, Anadolu Agency"
"Wed, 03 Oct 2018 07:00:00 GMT",Borsa günü düşüşle tamamladı | Borsa haberleri - Bloomberght,borsa günü düşüşle tamamladı borsa haberleri bloomberght,2018-10-03 07:00:00,10,stock market finished the day with a decline stock market news bloomberght
