Tarih,Başlık,Metin
"Sun, 22 Apr 2018 07:00:00 GMT",Borsa 4 haftanın ardından yükselişe geçti - Anadolu Ajansı,Borsa 4 haftanın ardından yükselişe geçti  Anadolu Ajansı
"Thu, 06 Sep 2018 07:00:00 GMT",İsviçreli uzmandan basit anlatımla blok zinciri hakkında herşey - Euronews.com,İsviçreli uzmandan basit anlatımla blok zinciri hakkında herşey  Euronews.com
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul`un yeni başkanı belli oldu! - Uzmanpara,Borsa İstanbul`un yeni başkanı belli oldu!  Uzmanpara
"Wed, 06 Jun 2018 07:00:00 GMT",Borsa İstanbul'da kimler satış yapıyor? | Borsa haberleri - Bloomberght,Borsa İstanbul'da kimler satış yapıyor? | Borsa haberleri  Bloomberght
"Thu, 12 Apr 2018 07:00:00 GMT",Sakarya Üniversitesi - Sakarya Üniversitesi,Sakarya Üniversitesi  Sakarya Üniversitesi
"Wed, 26 Sep 2018 07:00:00 GMT","ABD'li Nasdaq, Borsa İstanbul'dan çıktı - BBC","ABD'li Nasdaq, Borsa İstanbul'dan çıktı  BBC"
"Fri, 18 May 2018 07:00:00 GMT",Borsa İstanbul’da gong Şok Marketler için çaldı - Bigpara,Borsa İstanbul’da gong Şok Marketler için çaldı  Bigpara
"Tue, 08 May 2018 07:00:00 GMT",Borsa İstanbul'dan açığa satışa düzenleme - Anadolu Ajansı,Borsa İstanbul'dan açığa satışa düzenleme  Anadolu Ajansı
"Thu, 27 Sep 2018 07:00:00 GMT",Borsa İstanbul'un yeni başkanı Prof. Dr. Erişah Arıcan oldu | Son dakika ekonomi haberleri - Bloomberght,Borsa İstanbul'un yeni başkanı Prof. Dr. Erişah Arıcan oldu | Son dakika ekonomi haberleri  Bloomberght
"Fri, 28 Sep 2018 07:00:00 GMT",Elon Musk'a borsa dolandırıcılığı davası: Tesla yöneticiliği tehlikede - BBC,Elon Musk'a borsa dolandırıcılığı davası: Tesla yöneticiliği tehlikede  BBC
"Thu, 16 Aug 2018 07:00:00 GMT","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı - Uzmanpara","Himmet Karadağ, Borsa İstanbul’daki görevinden ayrıldı  Uzmanpara"
"Fri, 07 Dec 2018 08:00:00 GMT",Bu hafta borsa kaybettirdi döviz ve altın kazandırdı - Anadolu Ajansı,Bu hafta borsa kaybettirdi döviz ve altın kazandırdı  Anadolu Ajansı
"Wed, 03 Oct 2018 07:00:00 GMT",Borsa günü düşüşle tamamladı | Borsa haberleri - Bloomberght,Borsa günü düşüşle tamamladı | Borsa haberleri  Bloomberght
"Fri, 14 Sep 2018 07:00:00 GMT",Borsa İstanbul'dan kur riskinden korunmak için VİOP'a davet - Anadolu Ajansı,Borsa İstanbul'dan kur riskinden korunmak için VİOP'a davet  Anadolu Ajansı
"Tue, 09 Jan 2018 08:00:00 GMT","Borsa, güne yatay başladı | Borsa haberleri - Bloomberght","Borsa, güne yatay başladı | Borsa haberleri  Bloomberght"
"Fri, 29 Jun 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Anadolu Ajansı,Borsa güne yükselişle başladı  Anadolu Ajansı
"Tue, 05 Jun 2018 07:00:00 GMT",Borsa yaklaşık 1 yılın en düşük seviyesinde kapandı | Borsa haberleri - Bloomberght,Borsa yaklaşık 1 yılın en düşük seviyesinde kapandı | Borsa haberleri  Bloomberght
"Wed, 18 Apr 2018 07:00:00 GMT",Borsa İstanbul'un işgali davasında savcı mütalaasını sundu - Anadolu Ajansı,Borsa İstanbul'un işgali davasında savcı mütalaasını sundu  Anadolu Ajansı
"Thu, 26 Jul 2018 07:00:00 GMT",Borsa Eğitim ve Simülasyon Laboratuvarı'nın ikincisi Konya'da açıldı - Anadolu Ajansı,Borsa Eğitim ve Simülasyon Laboratuvarı'nın ikincisi Konya'da açıldı  Anadolu Ajansı
"Wed, 24 Jan 2018 08:00:00 GMT",Borsa İstanbul'da Trabzon Liman İşletmeciliği gong töreni - Anadolu Ajansı,Borsa İstanbul'da Trabzon Liman İşletmeciliği gong töreni  Anadolu Ajansı
"Tue, 17 Apr 2018 07:00:00 GMT",Transtürk Holding borsa kotundan çıkarıldı | Borsa haberleri - Bloomberght,Transtürk Holding borsa kotundan çıkarıldı | Borsa haberleri  Bloomberght
"Mon, 02 Jul 2018 07:00:00 GMT",Borsa İstanbul'un işgali davasında karar - Anadolu Ajansı,Borsa İstanbul'un işgali davasında karar  Anadolu Ajansı
"Fri, 17 Aug 2018 07:00:00 GMT","Dolar: Türkiye'de 1994, 2001 ve 2007'deki ekonomik krizlerde neler yaşandı? - BBC","Dolar: Türkiye'de 1994, 2001 ve 2007'deki ekonomik krizlerde neler yaşandı?  BBC"
"Mon, 02 Jul 2018 07:00:00 GMT",Borsa İstanbul'u işgal davasında karar açıklandı - Yeni Şafak,Borsa İstanbul'u işgal davasında karar açıklandı  Yeni Şafak
"Tue, 09 Jan 2018 08:00:00 GMT",Hisseleri iki ayda 13 kat artan şirkete büyük operasyon - Bigpara,Hisseleri iki ayda 13 kat artan şirkete büyük operasyon  Bigpara
"Tue, 20 Feb 2018 08:00:00 GMT",Borsa İstanbul halka arz edilecek - Anadolu Ajansı,Borsa İstanbul halka arz edilecek  Anadolu Ajansı
"Mon, 02 Apr 2018 07:00:00 GMT",Nisan-Mayıs döneminde en çok bu sektörler kazandırdı - Bigpara,Nisan-Mayıs döneminde en çok bu sektörler kazandırdı  Bigpara
"Wed, 01 Aug 2018 07:00:00 GMT",Kipa borsa kotundan çıkarılıyor - Uzmanpara,Kipa borsa kotundan çıkarılıyor  Uzmanpara
"Thu, 07 Jun 2018 07:00:00 GMT",Borsa İstanbul`da gong Aselsan için çaldı - Uzmanpara,Borsa İstanbul`da gong Aselsan için çaldı  Uzmanpara
"Thu, 26 Apr 2018 07:00:00 GMT",Son 5 yılda sürekli zarar açıklayan borsa şirketleri - Borsanın Gündemi,Son 5 yılda sürekli zarar açıklayan borsa şirketleri  Borsanın Gündemi
"Thu, 01 Nov 2018 07:00:00 GMT","Hayvancılığa can katacak borsa, enerjisini de üretecek - Anadolu Ajansı","Hayvancılığa can katacak borsa, enerjisini de üretecek  Anadolu Ajansı"
"Thu, 09 Aug 2018 07:00:00 GMT","Borsa, günün ilk yarısında yükseldi - Uzmanpara","Borsa, günün ilk yarısında yükseldi  Uzmanpara"
"Tue, 24 Jul 2018 07:00:00 GMT",Borsa güne yükselişle başladı - Uzmanpara,Borsa güne yükselişle başladı  Uzmanpara
"Wed, 09 May 2018 07:00:00 GMT",Borsa günün ilk yarısında yükseldi - Uzmanpara,Borsa günün ilk yarısında yükseldi  Uzmanpara
"Fri, 10 Aug 2018 07:00:00 GMT",Turkey's Borsa Istanbul down at open - Anadolu Ajansı,Turkey's Borsa Istanbul down at open  Anadolu Ajansı
